name,address,phone,website,rating,reviews,category
Zumel & Co.,"Toronto, ON",(416) 603-0888,https://www.zumelandco.com/,4.9,168,Women's clothing store
Black Market Vintage Upstairs,"Toronto, ON",(416) 599-5858,https://blackmarkettoronto.com/,4.3,1300,Vintage clothing store
honey,"Toronto, ON",(416) 599-0070,https://shophoney.com/,3,202,Women's clothing store
Bubble Gum Fashion,"Toronto, ON",(647) 839-0747,https://shopbubblegum.ca/,4.1,41,Women's clothing store
PLRG | Poor Little Rich Girl,"Toronto, ON",(416) 322-7574,https://plrg.ca/,4.3,41,Clothing store
Style In Liberty,"Toronto, ON",,https://www.styleinliberty.com/,4.5,68,Women's clothing store
Revelle Shop,"Toronto, ON",(647) 674-3114,https://revelleshop.com/,5,221,Dress store
Posh Boutique,"Toronto, ON",(416) 690-5533,https://poshshop.ca/,4.9,76,Women's clothing store
Courage My Love,"Toronto, ON",(416) 979-1992,https://couragemylovetoronto.com/,4.5,330,Vintage clothing store
Freda's Originals Inc,"Toronto, ON",(416) 703-0304,https://fredas.com/shop/,4.8,71,Clothing store
